"subject","predicate","object","type_s","type_o","urgency_level","recommended_action","safe_action","contraindicated_for","source_reference","confidence_level","last_updated"
"Chest pain","IS_RED_FLAG_FOR","Acute coronary syndrome","Symptom","Condition","emergency","Call emergency services immediately or go to the nearest emergency department","Sit down, stay calm, loosen tight clothing","","https://www.nhs.uk/conditions/heart-attack/","high","2025-11-10"
"Chest pain","IS_RED_FLAG_FOR","Heart attack","Symptom","Condition","emergency","Call emergency services immediately; aspirin if advised by a clinician","Rest and avoid exertion","","https://www.nhs.uk/conditions/heart-attack/","high","2025-11-10"
"Chest pain","IS_RED_FLAG_FOR","Cardiac arrest","Symptom","Condition","emergency","Call emergency services and begin CPR if trained; use AED if available","Start CPR if person unresponsive and not breathing normally","","https://www.resus.org.uk/library/2015-resuscitation-guidelines","high","2025-11-10"
"Collapse / fainting","IS_RED_FLAG_FOR","Loss of consciousness / cardiac arrest","Symptom","Condition","emergency","Call emergency services immediately","Place person in recovery position if breathing; check pulse","","https://www.nhs.uk/conditions/fainting/","high","2025-11-10"
"Shortness of breath","IS_RED_FLAG_FOR","Pulmonary embolism","Symptom","Condition","emergency","Seek immediate emergency care; suspected PE is urgent","Keep patient calm and still; avoid exertion","","https://www.nhs.uk/conditions/pulmonary-embolism/","high","2025-11-10"
"Shortness of breath","IS_RED_FLAG_FOR","Heart failure exacerbation","Symptom","Condition","urgent","Seek urgent medical evaluation; go to ED if severe","Sit upright, use prescribed inhalers/meds only if already advised","","https://www.nhs.uk/conditions/heart-failure/","high","2025-11-10"
"Shortness of breath","IS_RED_FLAG_FOR","Severe asthma attack","Symptom","Condition","emergency","Use reliever inhaler as prescribed and call emergency services if not improving","Sit upright and use rescue inhaler if available","","https://ginasthma.org/","high","2025-11-10"
"Bluish lips or face","IS_RED_FLAG_FOR","Hypoxia","Symptom","Condition","emergency","Call emergency services immediately","Assist with position to ease breathing; provide oxygen only if trained","","https://www.cdc.gov/first-aid/breathing-problems.html","high","2025-11-10"
"Rapid breathing / respiratory distress","IS_RED_FLAG_FOR","Respiratory failure","Symptom","Condition","emergency","Call emergency services and seek hospital care","Sit upright, loosen tight clothing; keep airway clear","","https://www.who.int/health-topics/emergency-care","high","2025-11-10"
"Severe headache","IS_RED_FLAG_FOR","Subarachnoid hemorrhage","Symptom","Condition","emergency","Call emergency services immediately; rapid neurological assessment required","Keep person still and note time of onset","","https://www.nhs.uk/conditions/subarachnoid-hemorrhage/","high","2025-11-10"
